timestamp,building_id,energy_kwh
2024-01-01 00:00:00,Building_A,123.974
2024-01-01 01:00:00,Building_A,124.07
2024-01-01 02:00:00,Building_A,135.182
2024-01-01 03:00:00,Building_A,146.326
2024-01-01 04:00:00,Building_A,135.447
2024-01-01 05:00:00,Building_A,137.445
2024-01-01 06:00:00,Building_A,152.634
2024-01-01 07:00:00,Building_A,145.458
2024-01-01 08:00:00,Building_A,133.565
2024-01-01 09:00:00,Building_A,138.483
2024-01-01 10:00:00,Building_A,126.293
2024-01-01 11:00:00,Building_A,121.451
2024-01-01 12:00:00,Building_A,121.936
2024-01-01 13:00:00,Building_A,99.517
2024-01-01 14:00:00,Building_A,96.201
2024-01-01 15:00:00,Building_A,101.36
2024-01-01 16:00:00,Building_A,94.577
2024-01-01 17:00:00,Building_A,103.195
2024-01-01 18:00:00,Building_A,92.736
2024-01-01 19:00:00,Building_A,89.383
2024-01-01 20:00:00,Building_A,114.405
2024-01-01 21:00:00,Building_A,104.052
2024-01-01 22:00:00,Building_A,110.54
2024-01-01 23:00:00,Building_A,103.426
2024-01-02 00:00:00,Building_A,123.463
2024-01-02 01:00:00,Building_A,133.882
2024-01-02 02:00:00,Building_A,128.61
2024-01-02 03:00:00,Building_A,144.966
2024-01-02 04:00:00,Building_A,140.334
2024-01-02 05:00:00,Building_A,144.803
2024-01-02 06:00:00,Building_A,143.005
2024-01-02 07:00:00,Building_A,161.955
2024-01-02 08:00:00,Building_A,145.031
2024-01-02 09:00:00,Building_A,133.499
2024-01-02 10:00:00,Building_A,144.399
2024-01-02 11:00:00,Building_A,123.228
2024-01-02 12:00:00,Building_A,129.489
2024-01-02 13:00:00,Building_A,106.965
2024-01-02 14:00:00,Building_A,107.193
2024-01-02 15:00:00,Building_A,115.251
2024-01-02 16:00:00,Building_A,116.406
2024-01-02 17:00:00,Building_A,109.871
2024-01-02 18:00:00,Building_A,106.893
2024-01-02 19:00:00,Building_A,106.091
2024-01-02 20:00:00,Building_A,98.67
2024-01-02 21:00:00,Building_A,107.917
2024-01-02 22:00:00,Building_A,114.133
2024-01-02 23:00:00,Building_A,131.099
2024-01-03 00:00:00,Building_A,132.498
2024-01-03 01:00:00,Building_A,120.821
2024-01-03 02:00:00,Building_A,142.342
2024-01-03 03:00:00,Building_A,140.811
2024-01-03 04:00:00,Building_A,141.654
2024-01-03 05:00:00,Building_A,153.961
2024-01-03 06:00:00,Building_A,157.997
2024-01-03 07:00:00,Building_A,156.518
2024-01-03 08:00:00,Building_A,140.356
2024-01-03 09:00:00,Building_A,141.418
2024-01-03 10:00:00,Building_A,142.399
2024-01-03 11:00:00,Building_A,142.73
2024-01-03 12:00:00,Building_A,125.916
2024-01-03 13:00:00,Building_A,123.088
2024-01-03 14:00:00,Building_A,110.899
2024-01-03 15:00:00,Building_A,106.037
2024-01-03 16:00:00,Building_A,118.929
2024-01-03 17:00:00,Building_A,121.281
2024-01-03 18:00:00,Building_A,109.173
2024-01-03 19:00:00,Building_A,118.459
2024-01-03 20:00:00,Building_A,115.322
2024-01-03 21:00:00,Building_A,110.446
2024-01-03 22:00:00,Building_A,122.64
2024-01-03 23:00:00,Building_A,136.877
2024-01-04 00:00:00,Building_A,124.052
2024-01-04 01:00:00,Building_A,142.032
2024-01-04 02:00:00,Building_A,113.381
2024-01-04 03:00:00,Building_A,145.056
2024-01-04 04:00:00,Building_A,142.356
2024-01-04 05:00:00,Building_A,141.265
2024-01-04 06:00:00,Building_A,145.073
2024-01-04 07:00:00,Building_A,127.757
2024-01-04 08:00:00,Building_A,139.902
2024-01-04 09:00:00,Building_A,141.338
2024-01-04 10:00:00,Building_A,223.467
2024-01-04 11:00:00,Building_A,125.369
2024-01-04 12:00:00,Building_A,117.871
